County,State,Estimate,Population_total,Ratio
Emporia city,Virginia,486,5346,0.09
Fairfax city,Virginia,9802,24019,0.41
Falls Church city,Virginia,7430,14617,0.51
Franklin city,Virginia,1099,7967,0.14
Fredericksburg city,Virginia,7061,29036,0.24
Galax city,Virginia,702,6347,0.11
Hampton city,Virginia,24346,134510,0.18
Harrisonburg city,Virginia,9795,53016,0.18
Hopewell city,Virginia,2199,22529,0.1
Lexington city,Virginia,1490,7446,0.2
Lynchburg city,Virginia,15981,82168,0.19
Manassas city,Virginia,7819,41085,0.19
Manassas Park city,Virginia,3093,17478,0.18
Martinsville city,Virginia,1844,12554,0.15
Newport News city,Virginia,30596,179225,0.17
Norfolk city,Virginia,44060,242742,0.18
Norton city,Virginia,625,3981,0.16
Petersburg city,Virginia,4303,31346,0.14
Poquoson city,Virginia,3572,12271,0.29
Portsmouth city,Virginia,13925,94398,0.15
Radford city,Virginia,3115,18249,0.17
Richmond city,Virginia,62578,230436,0.27
Roanoke city,Virginia,16387,99143,0.17
Salem city,Virginia,4775,25301,0.19
Staunton city,Virginia,5890,24932,0.24
Suffolk city,Virginia,17973,92108,0.2
Virginia Beach city,Virginia,110580,449974,0.25
Waynesboro city,Virginia,4159,22630,0.18
Williamsburg city,Virginia,4222,14954,0.28
Winchester city,Virginia,6503,28078,0.23
Adams,Washington,1532,19983,0.08
Asotin,Washington,3464,22582,0.15
Benton,Washington,39558,204390,0.19
Chelan,Washington,13370,77200,0.17
Clallam,Washington,15810,77331,0.2
Clark,Washington,97952,488241,0.2
Columbia,Washington,778,3985,0.2
Cowlitz,Washington,12622,110593,0.11
Douglas,Washington,5664,43429,0.13
Ferry,Washington,1082,7627,0.14
Franklin,Washington,9371,95222,0.1
Garfield,Washington,396,2225,0.18
Grant,Washington,10284,97733,0.11
Grays Harbor,Washington,8677,75061,0.12
Island,Washington,20314,85141,0.24
Jefferson,Washington,11495,32221,0.36
King,Washington,822615,2252782,0.37
Kitsap,Washington,61296,271473,0.23
Kittitas,Washington,9008,47935,0.19
Klickitat,Washington,5075,22425,0.23
Lewis,Washington,9839,80707,0.12
Lincoln,Washington,1918,10939,0.18
Mason,Washington,8252,66768,0.12
Okanogan,Washington,5844,42243,0.14
Pacific,Washington,3188,22471,0.14
Pend Oreille,Washington,2078,13724,0.15
Pierce,Washington,160025,904980,0.18
San Juan,Washington,6829,17582,0.39
Skagit,Washington,23147,129205,0.18
Skamania,Washington,2153,12083,0.18
Snohomish,Washington,181718,822083,0.22
Spokane,Washington,106165,522798,0.2
Stevens,Washington,5983,45723,0.13
Thurston,Washington,70142,290536,0.24
Wahkiakum,Washington,639,4488,0.14
Walla Walla,Washington,11843,60760,0.19
Whatcom,Washington,50116,229247,0.22
Whitman,Washington,12130,50104,0.24
Yakima,Washington,25240,250873,0.1
Barbour,West Virginia,1758,16441,0.11
Berkeley,West Virginia,16869,119171,0.14
Boone,West Virginia,1549,21457,0.07
Braxton,West Virginia,1562,13957,0.11
Brooke,West Virginia,3090,21939,0.14
Cabell,West Virginia,16406,91945,0.18
Calhoun,West Virginia,664,7109,0.09
Clay,West Virginia,560,8508,0.07
Doddridge,West Virginia,1087,8448,0.13
Fayette,West Virginia,4658,42406,0.11
Gilmer,West Virginia,945,7823,0.12
Grant,West Virginia,1185,11568,0.1
Greenbrier,West Virginia,5163,34662,0.15
Hampshire,West Virginia,2116,23175,0.09
Hancock,West Virginia,3780,28810,0.13
Hardy,West Virginia,1464,13776,0.11
Harrison,West Virginia,11238,67256,0.17
Jackson,West Virginia,3574,28576,0.13
Jefferson,West Virginia,12443,57146,0.22
Kanawha,West Virginia,33754,178124,0.19
Lewis,West Virginia,1681,15907,0.11
Lincoln,West Virginia,1329,20409,0.07
Logan,West Virginia,2404,32019,0.08
McDowell,West Virginia,736,17624,0.04
Marion,West Virginia,8736,56072,0.16
Marshall,West Virginia,4147,30531,0.14
Mason,West Virginia,2780,26516,0.1
Mercer,West Virginia,8256,58758,0.14
Mineral,West Virginia,3008,26868,0.11
Mingo,West Virginia,1707,23424,0.07
Monongalia,West Virginia,28085,105612,0.27
Monroe,West Virginia,1529,13275,0.12
Morgan,West Virginia,2243,17884,0.13
Nicholas,West Virginia,2862,24496,0.12
Ohio,West Virginia,9515,41411,0.23
Pendleton,West Virginia,745,6969,0.11
Pleasants,West Virginia,627,7460,0.08
Pocahontas,West Virginia,956,8247,0.12
Preston,West Virginia,4192,33432,0.13
Putnam,West Virginia,10406,56450,0.18
Raleigh,West Virginia,9939,73361,0.14
Randolph,West Virginia,3624,28695,0.13
Ritchie,West Virginia,815,9554,0.09
Roane,West Virginia,1322,13688,0.1
Summers,West Virginia,1442,12573,0.11
Taylor,West Virginia,2143,16695,0.13
Tucker,West Virginia,1043,6839,0.15
Tyler,West Virginia,911,8591,0.11
Upshur,West Virginia,2801,24176,0.12
Wayne,West Virginia,4361,39402,0.11
Webster,West Virginia,699,8114,0.09
Wetzel,West Virginia,1330,15065,0.09
Wirt,West Virginia,472,5821,0.08
Wood,West Virginia,13246,83518,0.16
Wyoming,West Virginia,1441,20394,0.07
Adams,Wisconsin,2231,20220,0.11
Ashland,Wisconsin,2114,15562,0.14
Barron,Wisconsin,6644,45244,0.15
Bayfield,Wisconsin,3576,15036,0.24
Brown,Wisconsin,52901,264542,0.2
Buffalo,Wisconsin,1841,13031,0.14
Burnett,Wisconsin,2440,15414,0.16
Calumet,Wisconsin,10027,50089,0.2
Chippewa,Wisconsin,9468,64658,0.15
Clark,Wisconsin,2725,34774,0.08
Columbia,Wisconsin,9427,57532,0.16
Crawford,Wisconsin,2159,16131,0.13
Dane,Wisconsin,181123,546695,0.33
Dodge,Wisconsin,10737,87839,0.12
Door,Wisconsin,7258,27668,0.26
Douglas,Wisconsin,7456,43150,0.17
Dunn,Wisconsin,7612,45368,0.17
Eau Claire,Wisconsin,21183,104646,0.2
Florence,Wisconsin,685,4295,0.16
Fond du Lac,Wisconsin,16516,103403,0.16
Forest,Wisconsin,946,9004,0.11
Grant,Wisconsin,7583,51439,0.15
Green,Wisconsin,6144,36960,0.17
Green Lake,Wisconsin,2679,18913,0.14
Iowa,Wisconsin,4078,23678,0.17
Iron,Wisconsin,919,5687,0.16
Jackson,Wisconsin,2111,20643,0.1
Jefferson,Wisconsin,14887,84769,0.18
Juneau,Wisconsin,2675,26687,0.1
Kenosha,Wisconsin,29553,169561,0.17
Kewaunee,Wisconsin,2824,20434,0.14
La Crosse,Wisconsin,26309,118016,0.22
Lafayette,Wisconsin,2149,16665,0.13
Langlade,Wisconsin,2353,19189,0.12
Lincoln,Wisconsin,3795,27593,0.14
Manitowoc,Wisconsin,11526,78981,0.15
Marathon,Wisconsin,23791,135692,0.18
Marinette,Wisconsin,4779,40350,0.12
Marquette,Wisconsin,1732,15574,0.11
Menominee,Wisconsin,472,4556,0.1
Milwaukee,Wisconsin,195028,945726,0.21
Monroe,Wisconsin,6356,46253,0.14
Oconto,Wisconsin,4636,37930,0.12
Oneida,Wisconsin,7375,35595,0.21
Outagamie,Wisconsin,37272,187885,0.2
Ozaukee,Wisconsin,30196,89221,0.34
Pepin,Wisconsin,1081,7287,0.15
Pierce,Wisconsin,7690,42754,0.18
Polk,Wisconsin,6538,43783,0.15
Portage,Wisconsin,14932,70772,0.21
Price,Wisconsin,1698,13351,0.13
Racine,Wisconsin,33606,196311,0.17
Richland,Wisconsin,2340,17252,0.14
Rock,Wisconsin,24402,163354,0.15
Rusk,Wisconsin,1703,14178,0.12
St. Croix,Wisconsin,21149,90687,0.23
Sauk,Wisconsin,10724,64442,0.17
Sawyer,Wisconsin,2958,16558,0.18
Shawano,Wisconsin,4600,40899,0.11
Sheboygan,Wisconsin,20110,115340,0.17
Taylor,Wisconsin,2129,20343,0.1
Trempealeau,Wisconsin,3865,29649,0.13
Vernon,Wisconsin,4601,30822,0.15
Vilas,Wisconsin,4963,22195,0.22
Walworth,Wisconsin,19601,103868,0.19
Washburn,Wisconsin,2722,15720,0.17
Washington,Wisconsin,29936,136034,0.22
Waukesha,Wisconsin,125457,404198,0.31
Waupaca,Wisconsin,7407,50990,0.15
Waushara,Wisconsin,2971,24443,0.12
Winnebago,Wisconsin,32554,171907,0.19
Wood,Wisconsin,11301,72999,0.15
Albany,Wyoming,11118,38880,0.29
Big Horn,Wyoming,1529,11790,0.13
Campbell,Wyoming,5753,46341,0.12
Carbon,Wyoming,2148,14800,0.15
Converse,Wyoming,1643,13822,0.12
Crook,Wyoming,1159,7584,0.15
Fremont,Wyoming,6439,39261,0.16
Goshen,Wyoming,2427,13211,0.18
Hot Springs,Wyoming,822,4413,0.19
Johnson,Wyoming,1926,8445,0.23
Laramie,Wyoming,18992,99500,0.19
Lincoln,Wyoming,3027,19830,0.15
Natrona,Wyoming,12395,79858,0.16
Niobrara,Wyoming,330,2356,0.14
Park,Wyoming,7059,29194,0.24
Platte,Wyoming,1348,8393,0.16
Sheridan,Wyoming,6632,30485,0.22
Sublette,Wyoming,1551,9831,0.16
Sweetwater,Wyoming,6291,42343,0.15
Teton,Wyoming,9875,23464,0.42
Uinta,Wyoming,2078,20226,0.1
Washakie,Wyoming,1297,7805,0.17
Weston,Wyoming,1016,6927,0.15
