County,State,Estimate
Marion,Tennessee,28639
Marshall,Tennessee,33708
Maury,Tennessee,94615
Meigs,Tennessee,12237
Monroe,Tennessee,46413
Montgomery,Tennessee,204992
Moore,Tennessee,6396
Morgan,Tennessee,21538
Obion,Tennessee,30343
Overton,Tennessee,22171
Perry,Tennessee,8020
Pickett,Tennessee,5068
Polk,Tennessee,16807
Putnam,Tennessee,78542
Rhea,Tennessee,32964
Roane,Tennessee,53331
Robertson,Tennessee,70982
Rutherford,Tennessee,324139
Scott,Tennessee,22020
Sequatchie,Tennessee,14936
Sevier,Tennessee,98007
Shelby,Tennessee,936611
Smith,Tennessee,19926
Stewart,Tennessee,13553
Sullivan,Tennessee,157707
Sumner,Tennessee,187680
Tipton,Tennessee,61562
Trousdale,Tennessee,10910
Unicoi,Tennessee,17821
Union,Tennessee,19678
Van Buren,Tennessee,5813
Warren,Tennessee,40971
Washington,Tennessee,128874
Wayne,Tennessee,16638
Weakley,Tennessee,33377
White,Tennessee,27087
Williamson,Tennessee,232380
Wilson,Tennessee,140604
Anderson,Texas,57917
Andrews,Texas,18227
Angelina,Texas,87119
Aransas,Texas,24220
Archer,Texas,8754
Armstrong,Texas,1950
Atascosa,Texas,50194
Austin,Texas,29892
Bailey,Texas,6916
Bandera,Texas,22770
Bastrop,Texas,86839
Baylor,Texas,3560
Bee,Texas,32609
Bell,Texas,355700
Bexar,Texas,1978826
Blanco,Texas,11733
Borden,Texas,653
Bosque,Texas,18428
Bowie,Texas,93622
Brazoria,Texas,368062
Brazos,Texas,226370
Brewster,Texas,9231
Briscoe,Texas,1348
Brooks,Texas,7100
Brown,Texas,37805
Burleson,Texas,18237
Burnet,Texas,47548
Caldwell,Texas,42817
Calhoun,Texas,21470
Callahan,Texas,13959
Cameron,Texas,422135
Camp,Texas,12938
Carson,Texas,5957
Cass,Texas,30002
Castro,Texas,7561
Chambers,Texas,42571
Cherokee,Texas,52341
Childress,Texas,7219
Clay,Texas,10444
Cochran,Texas,2860
Coke,Texas,3298
Coleman,Texas,8281
Collin,Texas,1006038
Collingsworth,Texas,2939
Colorado,Texas,21357
Comal,Texas,148921
Comanche,Texas,13597
Concho,Texas,3018
Cooke,Texas,40428
Coryell,Texas,75576
Cottle,Texas,1624
Crane,Texas,4739
Crockett,Texas,3393
Crosby,Texas,5753
Culberson,Texas,2183
Dallam,Texas,7272
Dallas,Texas,2622634
Dawson,Texas,12849
Deaf Smith,Texas,18617
Delta,Texas,5277
Denton,Texas,861690
DeWitt,Texas,20217
Dickens,Texas,2182
Dimmit,Texas,10232
Donley,Texas,3317
Duval,Texas,11194
Eastland,Texas,18289
Ector,Texas,162067
Edwards,Texas,1944
Ellis,Texas,179484
El Paso,Texas,836915
Erath,Texas,42226
Falls,Texas,17281
Fannin,Texas,35046
Fayette,Texas,25247
Fisher,Texas,3827
Floyd,Texas,5782
Foard,Texas,1207
Fort Bend,Texas,790892
Franklin,Texas,10767
Freestone,Texas,19744
Frio,Texas,20013
Gaines,Texas,21077
Galveston,Texas,337600
Garza,Texas,6028
Gillespie,Texas,26668
Glasscock,Texas,1447
Goliad,Texas,7578
Gonzales,Texas,20828
Gray,Texas,22063
Grayson,Texas,133527
Gregg,Texas,123633
Grimes,Texas,28447
Guadalupe,Texas,163030
Hale,Texas,33463
Hall,Texas,3025
Hamilton,Texas,8434
Hansford,Texas,5431
Hardeman,Texas,3958
Hardin,Texas,57356
Harris,Texas,4680609
Harrison,Texas,66547
Hartley,Texas,5588
Haskell,Texas,5711
Hays,Texas,222827
Hemphill,Texas,3901
Henderson,Texas,81969
Hidalgo,Texas,861137
Hill,Texas,36109
Hockley,Texas,22986
Hood,Texas,60025
Hopkins,Texas,36708
Houston,Texas,22942
Howard,Texas,36213
Hudspeth,Texas,4687
Hunt,Texas,96202
Hutchinson,Texas,21105
Irion,Texas,1553
Jack,Texas,8888
Jackson,Texas,14822
Jasper,Texas,35562
Jeff Davis,Texas,2245
Jefferson,Texas,253136
Jim Hogg,Texas,5187
Jim Wells,Texas,40796
Johnson,Texas,171359
Jones,Texas,19874
Karnes,Texas,15547
Kaufman,Texas,129792
Kendall,Texas,45491
Kenedy,Texas,391
Kent,Texas,704
Kerr,Texas,52195
Kimble,Texas,4375
King,Texas,279
Kinney,Texas,3674
Kleberg,Texas,30725
Knox,Texas,3679
Lamar,Texas,49705
Lamb,Texas,13018
Lampasas,Texas,21152
La Salle,Texas,7551
Lavaca,Texas,20072
Lee,Texas,17174
Leon,Texas,17325
Liberty,Texas,86173
Limestone,Texas,23364
Lipscomb,Texas,3301
Live Oak,Texas,12175
Llano,Texas,21452
Loving,Texas,117
Lubbock,Texas,308392
Lynn,Texas,5886
McCulloch,Texas,7970
McLennan,Texas,254045
McMullen,Texas,724
Madison,Texas,14329
Marion,Texas,9987
Martin,Texas,5676
Mason,Texas,4248
Matagorda,Texas,36791
Maverick,Texas,58098
Medina,Texas,50869
Menard,Texas,2108
Midland,Texas,171238
Milam,Texas,24797
Mills,Texas,4877
Mitchell,Texas,8256
Montague,Texas,19640
Montgomery,Texas,590188
Moore,Texas,21169
Morris,Texas,12357
Motley,Texas,1362
Nacogdoches,Texas,65080
Navarro,Texas,49475
Newton,Texas,13788
Nolan,Texas,14901
Nueces,Texas,362151
Ochiltree,Texas,9907
Oldham,Texas,2110
Orange,Texas,83776
Palo Pinto,Texas,28792
Panola,Texas,23186
Parker,Texas,138447
Parmer,Texas,9639
Pecos,Texas,15725
Polk,Texas,50155
Potter,Texas,118323
Presidio,Texas,6808
Rains,Texas,12001
Randall,Texas,136005
Reagan,Texas,3766
Real,Texas,3429
Red River,Texas,12115
Reeves,Texas,15546
Refugio,Texas,7015
Roberts,Texas,784
Robertson,Texas,17094
Rockwall,Texas,101175
Runnels,Texas,10280
Rusk,Texas,53988
Sabine,Texas,10470
San Augustine,Texas,8260
San Jacinto,Texas,28574
San Patricio,Texas,66969
San Saba,Texas,6004
Schleicher,Texas,2898
Scurry,Texas,16918
Shackelford,Texas,3291
Shelby,Texas,25263
Sherman,Texas,3046
Smith,Texas,230184
Somervell,Texas,8958
Starr,Texas,64032
Stephens,Texas,9358
Sterling,Texas,1274
Stonewall,Texas,1412
Sutton,Texas,3793
Swisher,Texas,7403
Tarrant,Texas,2077153
Taylor,Texas,137521
Terrell,Texas,903
Terry,Texas,12408
Throckmorton,Texas,1500
Titus,Texas,32709
Tom Green,Texas,118645
Travis,Texas,1250884
Trinity,Texas,14689
Tyler,Texas,21524
Upshur,Texas,41386
Upton,Texas,3651
Uvalde,Texas,26899
Val Verde,Texas,49018
Van Zandt,Texas,55970
Victoria,Texas,92044
Walker,Texas,72295
Waller,Texas,53626
Ward,Texas,11745
Washington,Texas,35275
Webb,Texas,274847
Wharton,Texas,41672
Wheeler,Texas,5187
Wichita,Texas,132154
Wilbarger,Texas,12717
Willacy,Texas,21419
Williamson,Texas,570437
Wilson,Texas,50110
Winkler,Texas,7822
Wise,Texas,67884
Wood,Texas,45054
Yoakum,Texas,8612
Young,Texas,17961
Zapata,Texas,14243
Zavala,Texas,11930
Beaver,Utah,6594
Box Elder,Utah,54953
Cache,Utah,126336
Carbon,Utah,20401
Daggett,Utah,590
Davis,Utah,350761
Duchesne,Utah,19950
Emery,Utah,10099
Garfield,Utah,5000
Grand,Utah,9698
Iron,Utah,53148
Juab,Utah,11623
Kane,Utah,7658
Millard,Utah,12963
Morgan,Utah,11950
Piute,Utah,1870
Rich,Utah,2415
Salt Lake,Utah,1146215
San Juan,Utah,15295
Sanpete,Utah,30421
Sevier,Utah,21475
Summit,Utah,41680
Tooele,Utah,69740
Uintah,Utah,35736
Utah,Utah,621506
Wasatch,Utah,33053
Washington,Utah,172127
Wayne,Utah,2698
Weber,Utah,255284
Addison,Vermont,36947
Bennington,Vermont,35649
Caledonia,Vermont,30027
Chittenden,Vermont,163414
Essex,Vermont,6179
Franklin,Vermont,49275
Grand Isle,Vermont,7075
Lamoille,Vermont,25376
Orange,Vermont,28873
Orleans,Vermont,26843
Rutland,Vermont,58527
Washington,Vermont,58336
Windham,Vermont,42628
Windsor,Vermont,55191
Accomack,Virginia,32560
Albemarle,Virginia,108819
Alleghany,Virginia,15030
Amelia,Virginia,12970
Amherst,Virginia,31782
Appomattox,Virginia,15814
Arlington,Virginia,236434
Augusta,Virginia,75754
Bath,Virginia,4248
Bedford,Virginia,78965
Bland,Virginia,6334
Botetourt,Virginia,33440
Brunswick,Virginia,16336
Buchanan,Virginia,21374
Buckingham,Virginia,17087
Campbell,Virginia,55406
Caroline,Virginia,30581
Carroll,Virginia,29911
Charles City,Virginia,6965
Charlotte,Virginia,11953
Chesterfield,Virginia,348500
Clarke,Virginia,14498
Craig,Virginia,5103
Culpeper,Virginia,51935
Cumberland,Virginia,9869
Dickenson,Virginia,14524
Dinwiddie,Virginia,28686
Essex,Virginia,10960
Fairfax,Virginia,1149439
Fauquier,Virginia,70353
Floyd,Virginia,15766
Fluvanna,Virginia,26873
Franklin,Virginia,56231
Frederick,Virginia,88054
Giles,Virginia,16760
Gloucester,Virginia,37362
Goochland,Virginia,23472
Grayson,Virginia,15651
Greene,Virginia,19734
Greensville,Virginia,11403
Halifax,Virginia,34295
Hanover,Virginia,106538
Henrico,Virginia,330076
Henry,Virginia,51032
Highland,Virginia,2202
Isle of Wight,Virginia,37107
James City,Virginia,76032
King and Queen,Virginia,7011
King George,Virginia,26679
King William,Virginia,16985
Lancaster,Virginia,10686
Lee,Virginia,23723
Loudoun,Virginia,405312
Louisa,Virginia,36654
Lunenburg,Virginia,12294
Madison,Virginia,13208
Mathews,Virginia,8760
Mecklenburg,Virginia,30726
Middlesex,Virginia,10642
Montgomery,Virginia,98495
Nelson,Virginia,14812
New Kent,Virginia,22310
Northampton,Virginia,11826
Northumberland,Virginia,12151
Nottoway,Virginia,15338
Orange,Virginia,36501
Page,Virginia,23862
Patrick,Virginia,17660
Pittsylvania,Virginia,60867
Powhatan,Virginia,29253
Prince Edward,Virginia,22892
Prince George,Virginia,38292
Prince William,Virginia,466834
Pulaski,Virginia,34113
Rappahannock,Virginia,7360
Richmond,Virginia,8951
Roanoke,Virginia,94103
Rockbridge,Virginia,22728
Rockingham,Virginia,81138
Russell,Virginia,26937
Scott,Virginia,21761
Shenandoah,Virginia,43441
Smyth,Virginia,30539
Southampton,Virginia,17829
Spotsylvania,Virginia,134683
Stafford,Virginia,150185
Surry,Virginia,6459
Sussex,Virginia,11202
Tazewell,Virginia,41201
Warren,Virginia,39888
Washington,Virginia,54005
Westmoreland,Virginia,17873
Wise,Virginia,38032
Wythe,Virginia,28725
York,Virginia,68389
Alexandria city,Virginia,158309
Bristol city,Virginia,17059
Buena Vista city,Virginia,6477
Charlottesville city,Virginia,47217
Chesapeake city,Virginia,242647
Colonial Heights city,Virginia,17283
Covington city,Virginia,5653
Danville city,Virginia,40668
Emporia city,Virginia,5408
Fairfax city,Virginia,23312
Falls Church city,Virginia,14309
Franklin city,Virginia,8015
Fredericksburg city,Virginia,29059
Galax city,Virginia,6402
Hampton city,Virginia,135169
Harrisonburg city,Virginia,53558
Hopewell city,Virginia,22500
Lexington city,Virginia,7205
Lynchburg city,Virginia,80970
Manassas city,Virginia,41038
Manassas Park city,Virginia,17548
Martinsville city,Virginia,12646
Newport News city,Virginia,179582
Norfolk city,Virginia,244300
Norton city,Virginia,3969
Petersburg city,Virginia,30791
Poquoson city,Virginia,12121
Portsmouth city,Virginia,94961
Radford city,Virginia,17833
Richmond city,Virginia,229233
Roanoke city,Virginia,99122
Salem city,Virginia,25290
Staunton city,Virginia,24660
Suffolk city,Virginia,91383
Virginia Beach city,Virginia,450882
Waynesboro city,Virginia,22300
Williamsburg city,Virginia,15034
Winchester city,Virginia,27912
Adams,Washington,19702
Asotin,Washington,22636
Benton,Washington,200715
Chelan,Washington,76653
Clallam,Washington,76482
Clark,Washington,481950
Columbia,Washington,4024
Cowlitz,Washington,108399
Douglas,Washington,42520
Ferry,Washington,7643
Franklin,Washington,93681
Garfield,Washington,2258
Grant,Washington,96648
Grays Harbor,Washington,73769
Island,Washington,84187
Jefferson,Washington,31825
King,Washington,2225064
Kitsap,Washington,268945
Kittitas,Washington,47097
Klickitat,Washington,22055
Lewis,Washington,79430
Lincoln,Washington,10732
Mason,Washington,65326
Okanogan,Washington,42080
Pacific,Washington,22121
Pend Oreille,Washington,13588
Pierce,Washington,891862
San Juan,Washington,16953
Skagit,Washington,127442
Skamania,Washington,11906
Snohomish,Washington,811572
Spokane,Washington,513402
Stevens,Washington,45233
Thurston,Washington,284698
Wahkiakum,Washington,4318
Walla Walla,Washington,60785
Whatcom,Washington,224538
Whitman,Washington,49577
Yakima,Washington,250649
Barbour,West Virginia,16543
Berkeley,West Virginia,117615
Boone,West Virginia,21897
Braxton,West Virginia,14032
Brooke,West Virginia,22162
Cabell,West Virginia,93328
Calhoun,West Virginia,7185
Clay,West Virginia,8599
Doddridge,West Virginia,8499
Fayette,West Virginia,43087
Gilmer,West Virginia,7970
Grant,West Virginia,11565
Greenbrier,West Virginia,34893
Hampshire,West Virginia,23304
Hancock,West Virginia,29118
Hardy,West Virginia,13789
Harrison,West Virginia,67620
Jackson,West Virginia,28793
Jefferson,West Virginia,56922
Kanawha,West Virginia,181014
Lewis,West Virginia,16024
Lincoln,West Virginia,20617
Logan,West Virginia,32593
McDowell,West Virginia,18083
Marion,West Virginia,56233
Marshall,West Virginia,30900
Mason,West Virginia,26700
Mercer,West Virginia,59370
Mineral,West Virginia,27047
Mingo,West Virginia,23808
Monongalia,West Virginia,106196
Monroe,West Virginia,13344
Morgan,West Virginia,17800
Nicholas,West Virginia,24857
Ohio,West Virginia,41875
Pendleton,West Virginia,6968
Pleasants,West Virginia,7457
Pocahontas,West Virginia,8382
Preston,West Virginia,33610
Putnam,West Virginia,56604
Raleigh,West Virginia,74452
Randolph,West Virginia,28763
Ritchie,West Virginia,9747
Roane,West Virginia,13831
Summers,West Virginia,12710
Taylor,West Virginia,16817
Tucker,West Virginia,6943
Tyler,West Virginia,8736
Upshur,West Virginia,24451
Wayne,West Virginia,39952
Webster,West Virginia,8289
Wetzel,West Virginia,15291
Wirt,West Virginia,5764
Wood,West Virginia,84387
Wyoming,West Virginia,20890
Adams,Wisconsin,20208
Ashland,Wisconsin,15524
Barron,Wisconsin,45182
Bayfield,Wisconsin,15088
Brown,Wisconsin,262559
Buffalo,Wisconsin,13087
Burnett,Wisconsin,15363
Calumet,Wisconsin,50005
Chippewa,Wisconsin,64175
Clark,Wisconsin,34668
Columbia,Wisconsin,57331
Crawford,Wisconsin,16155
Dane,Wisconsin,542459
Dodge,Wisconsin,87569
Door,Wisconsin,27621
Douglas,Wisconsin,43497
Dunn,Wisconsin,45029
Eau Claire,Wisconsin,104132
Florence,Wisconsin,4312
Fond du Lac,Wisconsin,102654
Forest,Wisconsin,9003
Grant,Wisconsin,51570
Green,Wisconsin,36790
Green Lake,Wisconsin,18807
Iowa,Wisconsin,23632
Iron,Wisconsin,5679
Jackson,Wisconsin,20556
Jefferson,Wisconsin,84837
Juneau,Wisconsin,26603
Kenosha,Wisconsin,168998
Kewaunee,Wisconsin,20398
La Crosse,Wisconsin,118168
Lafayette,Wisconsin,16682
Langlade,Wisconsin,19167
Lincoln,Wisconsin,27687
Manitowoc,Wisconsin,78977
Marathon,Wisconsin,135485
Marinette,Wisconsin,40312
Marquette,Wisconsin,15380
Menominee,Wisconsin,4566
Milwaukee,Wisconsin,949180
Monroe,Wisconsin,46155
Oconto,Wisconsin,37870
Oneida,Wisconsin,35480
Outagamie,Wisconsin,186829
Ozaukee,Wisconsin,89179
Pepin,Wisconsin,7261
Pierce,Wisconsin,42336
Polk,Wisconsin,43549
Portage,Wisconsin,70822
Price,Wisconsin,13351
Racine,Wisconsin,195859
Richland,Wisconsin,17408
Rock,Wisconsin,162532
Rusk,Wisconsin,14074
St. Croix,Wisconsin,89702
Sauk,Wisconsin,64152
Sawyer,Wisconsin,16477
Shawano,Wisconsin,40813
Sheboygan,Wisconsin,115152
Taylor,Wisconsin,20320
Trempealeau,Wisconsin,29525
Vernon,Wisconsin,30759
Vilas,Wisconsin,21923
Walworth,Wisconsin,103391
Washburn,Wisconsin,15726
Washington,Wisconsin,135529
Waukesha,Wisconsin,402637
Waupaca,Wisconsin,50997
Waushara,Wisconsin,24256
Winnebago,Wisconsin,170924
Wood,Wisconsin,72892
Albany,Wyoming,38664
Big Horn,Wyoming,11809
Campbell,Wyoming,46958
Carbon,Wyoming,15073
Converse,Wyoming,13842
Crook,Wyoming,7502
Fremont,Wyoming,39711
Goshen,Wyoming,13301
Hot Springs,Wyoming,4550
Johnson,Wyoming,8518
Laramie,Wyoming,99272
Lincoln,Wyoming,19640
Natrona,Wyoming,80067
Niobrara,Wyoming,2377
Park,Wyoming,29273
Platte,Wyoming,8572
Sheridan,Wyoming,30397
Sublette,Wyoming,9865
Sweetwater,Wyoming,43352
Teton,Wyoming,23356
Uinta,Wyoming,20374
Washakie,Wyoming,7933
Weston,Wyoming,6942
