t,A,B,C,D,E,F,G
0.345,0.398509659,0.045377008,0.010790152,0.076367692,0.010013856,0.293986201,0.487207117
0.35,0.397676754,0.046927844,0.010119265,0.078435053,0.009604656,0.294703957,0.486705271
0.355,0.397074207,0.048689107,0.009285889,0.078311464,0.009050105,0.296268064,0.486213344
0.36,0.396637877,0.050698392,0.008615129,0.076809149,0.008694923,0.296232039,0.485717792
0.365,0.39609091,0.052902458,0.008604134,0.075856951,0.009137618,0.29540438,0.485195838
0.37,0.395210451,0.055205082,0.009594863,0.076878139,0.010833007,0.295127152,0.484638625
0.375,0.394062703,0.057293662,0.011121687,0.078635682,0.013483173,0.295355203,0.484109401
0.38,0.392806547,0.058786377,0.012460127,0.079040201,0.016548821,0.295598592,0.483694496
0.385,0.391561016,0.059508624,0.013083396,0.077041804,0.019550082,0.295526913,0.483431507
0.39,0.390328493,0.059891832,0.013043141,0.07463133,0.022181183,0.295276852,0.483215483
0.395,0.389089573,0.060473579,0.012496467,0.074332497,0.02416705,0.29506875,0.482916615
0.4,0.387778014,0.061465285,0.011624108,0.077053993,0.025155769,0.295020236,0.482490641
0.405,0.386247004,0.062517345,0.010647438,0.080926507,0.024663258,0.295072261,0.482040444
0.41,0.384352222,0.063233312,0.009780378,0.083857586,0.022232247,0.295150167,0.481679653
0.415,0.382209048,0.063429046,0.008951724,0.085025085,0.018396702,0.295224724,0.481427912
0.42,0.380203867,0.063141956,0.007792733,0.084932475,0.014724972,0.295314115,0.481206786
0.425,0.378695214,0.062430659,0.006042341,0.084124657,0.012685572,0.295430957,0.480941864
0.43,0.377580417,0.061476831,0.004822611,0.082910864,0.012060171,0.295499343,0.480656776
0.435,0.376464058,0.060540254,0.006133535,0.08145074,0.01155973,0.29538717,0.480437386
0.44,0.375010462,0.059833578,0.011325586,0.079961268,0.010119151,0.295016572,0.480353538
0.445,0.373275693,0.059275204,0.017713849,0.079022681,0.008139144,0.294644977,0.480371615
0.45,0.371463091,0.058672915,0.021096406,0.079351737,0.006571484,0.294655838,0.480419101
0.455,0.36970535,0.057905492,0.01884598,0.081265858,0.006076279,0.295087553,0.480439706
0.46,0.367891624,0.057096248,0.013752872,0.083710088,0.006308478,0.294792648,0.480433115
0.465,0.365859589,0.056420235,0.009755667,0.085341075,0.006708681,0.292819969,0.480411048
0.47,0.363549848,0.055956568,0.008931802,0.085620007,0.006888326,0.290747668,0.480389591
0.475,0.361108452,0.055592862,0.009643582,0.085614054,0.006799865,0.288240653,0.480393539
0.48,0.35870381,0.055197987,0.009852833,0.086550284,0.006442417,0.285592263,0.480447709
0.485,0.356437038,0.054772541,0.008863052,0.088640216,0.006018132,0.28309584,0.480543558
0.49,0.354328267,0.054475644,0.007592311,0.090873258,0.005973491,0.281044722,0.480632396
0.495,0.352392207,0.054467272,0.006997615,0.092237266,0.006724315,0.279265818,0.480667152
0.5,0.350635051,0.054788111,0.007242111,0.092710076,0.008056972,0.279197256,0.480656548
0.505,0.34905674,0.055391324,0.007906476,0.092995878,0.009295986,0.28005917,0.48065024
0.51,0.347647924,0.056212272,0.008585044,0.093746509,0.009847459,0.280496398,0.480692332
0.515,0.346333205,0.057072352,0.009067618,0.095115004,0.009783238,0.280399091,0.480780047
0.52,0.345008182,0.057742922,0.009229833,0.097035377,0.009467497,0.280204218,0.480890019
0.525,0.34358906,0.058065347,0.009051523,0.099378873,0.009204032,0.280240807,0.480999244
0.53,0.342075849,0.058164945,0.008932372,0.101766728,0.009047431,0.280391949,0.481086543
0.535,0.340489717,0.058238553,0.00937629,0.103757829,0.008989231,0.28042866,0.481131268
0.54,0.338846014,0.058421834,0.010404424,0.105124223,0.009002448,0.28028077,0.481130021
0.545,0.337146561,0.058708281,0.010915985,0.106133346,0.009017053,0.280247194,0.481119511
0.55,0.335392306,0.05907124,0.009682878,0.107121045,0.008960885,0.280666346,0.481141572
0.555,0.333631675,0.059484111,0.006916958,0.108341523,0.00894199,0.281294766,0.481212832
0.56,0.331979042,0.059920372,0.004830307,0.109935569,0.009318745,0.281080722,0.481314896
0.565,0.330547799,0.060354441,0.005627043,0.112018759,0.010437305,0.279064417,0.481426745
0.57,0.329349945,0.060776984,0.008813117,0.114414402,0.012111456,0.276915415,0.481526613
0.575,0.328311615,0.061192422,0.011609719,0.116698325,0.013704187,0.278529786,0.481592101
0.58,0.327348498,0.061605769,0.011522944,0.118485835,0.014667532,0.283104761,0.481605706
0.585,0.32630954,0.062023413,0.009137974,0.119800107,0.0153442,0.288585874,0.48159231
0.59,0.325009589,0.062452446,0.006613369,0.120872732,0.016532028,0.294819007,0.481598458
0.595,0.323342602,0.062894347,0.005682233,0.121935435,0.018776528,0.300990839,0.481659266
0.6,0.321580713,0.063323836,0.005990592,0.123212608,0.021403744,0.306288047,0.481754594
0.605,0.320108234,0.063707683,0.006564054,0.124926225,0.023377564,0.31020648,0.481847887
0.61,0.319106567,0.064020146,0.006680081,0.127149467,0.024032524,0.310993122,0.481919906
0.615,0.318206049,0.064255806,0.006300349,0.12955146,0.023709858,0.307843603,0.48199842
0.62,0.316949393,0.064413251,0.005505606,0.131735631,0.022921453,0.30570011,0.482117983
0.625,0.315211703,0.06452981,0.00464353,0.133453476,0.022271819,0.306374508,0.482238772
0.63,0.313401943,0.064705041,0.004490524,0.134694301,0.022514229,0.306651017,0.482201508
0.635,0.311962155,0.065040028,0.005803278,0.135476879,0.023314386,0.303008301,0.481844208
0.64,0.311001617,0.065545706,0.008051222,0.135996486,0.023576287,0.295190159,0.481182867
0.645,0.310304685,0.066144985,0.009446843,0.136620741,0.02386585,0.286128622,0.48040726
0.65,0.309657573,0.066758852,0.008370041,0.137680018,0.024180333,0.278676921,0.479697179
0.655,0.30900636,0.067326377,0.005483404,0.139043252,0.024516994,0.273490818,0.479053534
0.66,0.308391887,0.067797348,0.002802637,0.14030585,0.024873093,0.269923473,0.478371195
0.665,0.307840742,0.068129407,0.00199199,0.141120141,0.025245889,0.267383071,0.477567828
0.67,0.307292381,0.06832356,0.002639843,0.14147866,0.02563264,0.265683201,0.476697088
0.675,0.306655852,0.06839596,0.003609714,0.141492745,0.026030604,0.26477901,0.475860105
0.68,0.305901005,0.068365867,0.004060611,0.141248876,0.026437041,0.264559156,0.475114957
0.685,0.305191415,0.068262397,0.004094983,0.140753975,0.02684921,0.264700079,0.47438245
0.69,0.304727904,0.068116551,0.004001706,0.139999961,0.027264369,0.264837884,0.473556454
0.695,0.304582092,0.067952062,0.003968193,0.139062488,0.027679777,0.264798629,0.472565357
0.7,0.304585109,0.067779133,0.003992987,0.138173067,0.028092693,0.264761952,0.471401799
0.705,0.304546959,0.067606322,0.004055228,0.137570154,0.028500375,0.264934696,0.470066369
0.71,0.304424403,0.067437337,0.00416835,0.137202986,0.028900082,0.265197094,0.468586801
0.715,0.304339428,0.067270424,0.004384396,0.136695192,0.029289074,0.265061674,0.467021391
0.72,0.304408118,0.067103605,0.004743585,0.135694309,0.029664608,0.26405696,0.465427416
0.725,0.304560414,0.066935744,0.005110463,0.134370017,0.030023944,0.262161936,0.463828689
0.73,0.304598585,0.066766279,0.005229091,0.133250122,0.03036434,0.25966454,0.462226072
0.735,0.304387718,0.066595122,0.005060507,0.132762498,0.030683055,0.256862342,0.460620678
0.74,0.30422787,0.066425257,0.00602642,0.132622911,0.030977348,0.254076825,0.459018283
0.745,0.304596811,0.066260924,0.010145336,0.132256172,0.031282809,0.251639243,0.457426572
0.75,0.30576507,0.06610269,0.018257177,0.131245744,0.032435304,0.249822335,0.455846322
0.755,0.307224831,0.065937355,0.026780125,0.129772662,0.032384492,0.248679524,0.454252426
0.76,0.308287704,0.065748618,0.031110812,0.12815753,0.031820647,0.248212073,0.452613949
0.765,0.308570611,0.065542737,0.029174775,0.126660018,0.031184561,0.248270665,0.450942875
0.77,0.308351095,0.065374788,0.024369492,0.125407936,0.030377199,0.248380159,0.449344055
0.775,0.307988028,0.06530585,0.020742808,0.124508731,0.029233188,0.248034425,0.447935385
0.78,0.307647789,0.065382442,0.0198433,0.123947724,0.027749099,0.247176852,0.446870259
0.785,0.307246735,0.065632184,0.019973383,0.123551615,0.026131838,0.246334681,0.446348183
0.79,0.30669178,0.066079969,0.019320994,0.123145481,0.024597152,0.246036712,0.446559379
0.795,0.306003286,0.066727909,0.017674463,0.122694632,0.023279302,0.246226585,0.44750092
0.8,0.305291481,0.067560062,0.016089755,0.122275458,0.022248005,0.246384441,0.449016888
0.805,0.304650496,0.068554971,0.015517506,0.121959534,0.021557278,0.24608215,0.450953965
0.81,0.304027317,0.069651322,0.015797671,0.121756138,0.021150648,0.245719679,0.453212719
0.815,0.303298849,0.070768825,0.016241228,0.121644874,0.020919019,0.246091388,0.455719378
